value,method,pooling_level,time_unit,resistance_threshold,dpval,sampling_intensity,time_in_days,true_value,delay_in_days,method_name
74,gisp,monthly,month,0.17,10,10,2250,697.0,1553.0,Culture
67,gisp,monthly,month,0.17,10,20,2040,697.0,1343.0,Culture
54,gisp,monthly,month,0.17,10,40,1650,697.0,953.0,Culture
46,gisp,monthly,month,0.17,10,80,1410,697.0,713.0,Culture
66,gisp,monthly,month,0.18,10,25,2010,798.0,1212.0,Culture
40,naats,monthly,month,0.18,10,0.05,1230,798.0,432.0,NAAT remnants
36,naats,monthly,month,0.18,10,0.1,1110,798.0,312.0,NAAT remnants
33,naats,monthly,month,0.18,10,0.2,1020,798.0,222.0,NAAT remnants
31,naats,monthly,month,0.18,10,0.4,960,798.0,162.0,NAAT remnants
30,naats,monthly,month,0.18,10,0.8,930,798.0,132.0,NAAT remnants
81,gisp,monthly,month,0.18,10,5,2460,798.0,1662.0,Culture
74,gisp,monthly,month,0.18,10,10,2250,798.0,1452.0,Culture
67,gisp,monthly,month,0.18,10,20,2040,798.0,1242.0,Culture
58,gisp,monthly,month,0.18,10,40,1770,798.0,972.0,Culture
50,gisp,monthly,month,0.18,10,80,1530,798.0,732.0,Culture
66,gisp,monthly,month,0.19,10,25,2010,894.0,1116.0,Culture
43,naats,monthly,month,0.19,10,0.05,1320,894.0,426.0,NAAT remnants
39,naats,monthly,month,0.19,10,0.1,1200,894.0,306.0,NAAT remnants
37,naats,monthly,month,0.19,10,0.2,1140,894.0,246.0,NAAT remnants
35,naats,monthly,month,0.19,10,0.4,1080,894.0,186.0,NAAT remnants
34,naats,monthly,month,0.19,10,0.8,1050,894.0,156.0,NAAT remnants
81,gisp,monthly,month,0.19,10,5,2460,894.0,1566.0,Culture
74,gisp,monthly,month,0.19,10,10,2250,894.0,1356.0,Culture
67,gisp,monthly,month,0.19,10,20,2040,894.0,1146.0,Culture
58,gisp,monthly,month,0.19,10,40,1770,894.0,876.0,Culture
53,gisp,monthly,month,0.19,10,80,1620,894.0,726.0,Culture
66,gisp,monthly,month,0.2,10,25,2010,986.0,1024.0,Culture
45,naats,monthly,month,0.2,10,0.05,1380,986.0,394.0,NAAT remnants
42,naats,monthly,month,0.2,10,0.1,1290,986.0,304.0,NAAT remnants
39,naats,monthly,month,0.2,10,0.2,1200,986.0,214.0,NAAT remnants
38,naats,monthly,month,0.2,10,0.4,1170,986.0,184.0,NAAT remnants
36,naats,monthly,month,0.2,10,0.8,1110,986.0,124.0,NAAT remnants
81,gisp,monthly,month,0.2,10,5,2460,986.0,1474.0,Culture
75,gisp,monthly,month,0.2,10,10,2280,986.0,1294.0,Culture
68,gisp,monthly,month,0.2,10,20,2070,986.0,1084.0,Culture
58,gisp,monthly,month,0.2,10,40,1770,986.0,784.0,Culture
53,gisp,monthly,month,0.2,10,80,1620,986.0,634.0,Culture
73,gisp,monthly,month,0.21,10,25,2220,1075.0,1145.0,Culture
47,naats,monthly,month,0.21,10,0.05,1440,1075.0,365.0,NAAT remnants
44,naats,monthly,month,0.21,10,0.1,1350,1075.0,275.0,NAAT remnants
42,naats,monthly,month,0.21,10,0.2,1290,1075.0,215.0,NAAT remnants
40,naats,monthly,month,0.21,10,0.4,1230,1075.0,155.0,NAAT remnants
39,naats,monthly,month,0.21,10,0.8,1200,1075.0,125.0,NAAT remnants
109,gisp,monthly,month,0.21,10,5,3300,1075.0,2225.0,Culture
87,gisp,monthly,month,0.21,10,10,2640,1075.0,1565.0,Culture
75,gisp,monthly,month,0.21,10,20,2280,1075.0,1205.0,Culture
64,gisp,monthly,month,0.21,10,40,1950,1075.0,875.0,Culture
56,gisp,monthly,month,0.21,10,80,1710,1075.0,635.0,Culture
73,gisp,monthly,month,0.22,10,25,2220,1161.0,1059.0,Culture
51,naats,monthly,month,0.22,10,0.05,1560,1161.0,399.0,NAAT remnants
47,naats,monthly,month,0.22,10,0.1,1440,1161.0,279.0,NAAT remnants
45,naats,monthly,month,0.22,10,0.2,1380,1161.0,219.0,NAAT remnants
43,naats,monthly,month,0.22,10,0.4,1320,1161.0,159.0,NAAT remnants
42,naats,monthly,month,0.22,10,0.8,1290,1161.0,129.0,NAAT remnants
